GeneID,GrupoA_1,GrupoA_2,GrupoA_3,GrupoB_1,GrupoB_2,GrupoB_3,GrupoB_4
57337,600,921,985,1947,953,1029,1200
54931,938,1048,1445,1400,1122,780,1688
57092,8504,10812,11905,12740,6996,7318,11154
27107,953,1196,1517,1512,1032,902,962
100009676,168,205,207,214,60,159,160
6152,10890,12671,9324,8908,7656,5775,12874
79598,611,718,1086,2532,1589,977,1025
91775,1191,1671,2495,3851,932,816,2321
64332,436,226,392,708,728,158,348
214,3683,16881,6604,395,695,7344,1577
868,836,948,767,548,236,510,239
344595,474,751,1283,449,210,706,640
56987,3651,3998,6406,11295,4168,3591,4921
961,3070,2146,5847,10308,2551,3110,1819
55081,2031,1713,3137,3216,937,1430,1984
22989,47,19,305,362,41,27,8
57650,1210,1090,2113,2049,1623,1120,2146
9666,745,1135,2088,2082,981,1550,1636
25945,3119,6993,7426,23152,7676,15416,2151
90102,1361,1045,192,83,138,134,1059
55347,1026,996,1327,942,1269,1008,2034
29114,277,307,105,16,702,440,1362
79669,335,87,193,50,5,2,189
4345,104,1067,715,215,720,971,504
64422,1806,2169,2101,2120,1919,1539,2869
55032,1324,2120,3665,2805,1376,2192,2525
151887,3224,5304,1557,1191,513,2238,875
29083,406,413,617,491,242,315,558
25871,1496,1665,2753,3180,1420,1619,2307
101929717,10,12,19,21,7,11,13
91653,461,1855,5298,13859,506,3187,1912
55779,407,253,614,1310,164,526,305
152185,249,312,468,1009,560,275,692
205717,762,1086,1165,2850,1001,915,920
80218,4906,4588,7995,10033,5543,4278,5150
523,2291,3634,4316,6384,3115,3200,3524
54762,55,93,45,486,305,326,148
254887,85,172,171,600,580,448,117
57577,144,157,219,650,310,274,225
79691,893,1228,1030,1790,965,988,814
201633,1160,2307,3498,5150,1937,3920,861
26137,2245,4598,6647,9922,3338,6568,1621
100131117,9,12,21,36,6,28,5
2596,3519,3843,1638,56603,9668,20273,15290
4045,2543,2928,5193,21159,1771,8215,3958
152404,59,973,552,1237,719,1829,486
8702,735,683,1217,2254,840,610,759
100874201,42,40,55,100,30,20,38
57514,3573,3399,1247,3526,619,2131,2436
55254,1673,529,1020,1012,603,510,407
56983,679,1208,748,1654,719,860,708
51300,2060,2130,3046,2893,1142,1516,2493
141,231,226,258,661,28,15,474
64091,192,52,26,109,28,81,38
10063,872,1167,1053,1364,1161,619,2677
89876,44,20,121,186,112,47,110
2932,3266,4727,5723,8982,2916,6161,4461
165829,10,127,117,190,33,30,65
116064,1859,2940,6071,6228,3271,4459,3237
11167,25965,16899,27617,14638,2488,5272,2859
406975,280,194,288,139,29,63,35
4710,2524,3326,3436,3878,2748,2250,4228
285282,1177,1523,2026,2105,1060,1563,1932
2960,430,473,1060,995,463,644,706
9515,11,10,357,269,75,803,123
10721,379,569,966,844,581,401,454
2804,3079,5173,5308,6357,2679,3355,2579
9657,757,410,983,1026,790,508,733
55840,62,21,60,44,71,48,209
6565,13,125,692,221,165,1222,391
131076,587,420,418,480,346,304,791
26355,491,1068,910,3946,1310,1155,1057
54554,473,394,522,508,283,413,582
3836,2377,4175,4337,5182,2708,3208,2966
83666,2399,972,1971,2092,1023,1507,949
151636,3383,1612,2780,1753,1173,1592,1240
54625,3103,1344,4137,2579,1190,1108,995
79663,226,205,358,249,199,211,253
84925,310,791,965,673,344,504,418
100129550,49,108,222,165,69,87,28
54437,1,75,134,183,131,218,584
10954,438,372,290,1573,484,273,493
26984,445,643,680,788,464,428,751
111,11,226,100,32,35,62,14
201562,1716,4985,3747,3899,1556,2456,1586
100506826,60,170,70,101,37,84,94
4638,1828,10725,2137,2346,413,888,457
64770,1370,2080,2107,3169,1062,2521,1414
8997,482,510,471,3163,241,783,678
7372,1215,1541,1674,1453,992,1065,1336
3693,4795,4296,6830,4363,928,861,5703
57493,1229,6775,3262,4322,1167,2164,2567
84561,120,24,94,52,15,94,46
7707,1563,2190,3583,5285,3023,2352,2233
8723,1305,1105,1907,3026,2073,1701,2742
114885,748,1132,1491,1716,887,1026,1339
100125556,38,97,272,103,46,84,93
200810,23,34,48,28,10,25,22
54946,706,1236,1183,1457,552,574,803
105374085,27,24,23,14,30,17,81
28999,34,131,97,157,218,111,215
79364,593,1161,1478,1863,852,1072,836
114112,226,360,372,198,207,236,303
84303,332,690,685,493,384,446,605
5361,4279,11397,12638,8060,1518,5179,1985
131601,669,929,1189,928,409,401,506
4171,1836,5357,4592,3368,3045,2415,3012
50512,410,1478,512,1484,527,1684,1510
80325,471,422,555,432,120,70,117
11343,6773,7576,640,310,11,1648,946
29927,11961,21030,14389,21511,6878,10895,7647
8607,2885,4643,4604,3414,2561,2907,3272
60678,448,799,753,859,289,523,561
2624,80,0,162,133,2,2,35
6184,8599,10819,13359,16287,5424,6220,7257
7879,9160,11759,11816,14103,6486,8698,10794
28976,905,1753,1740,1601,897,903,1200
57501,329,376,406,345,311,203,560
100534599,1141,910,1253,948,681,479,965
339122,708,478,677,486,433,256,470
57461,1066,990,1367,1129,612,563,1088
7555,9204,9515,13968,12193,11707,6795,12970
105374101,6,19,17,18,4,16,11
22820,6217,7064,8579,11676,4890,4409,5155
56941,1225,1910,4030,2399,1447,1048,1451
8971,4649,5231,4341,7113,8490,4081,9112
132241,57,40,76,128,83,92,66
8930,1040,1066,1434,1452,1185,676,1165
55764,501,1137,811,1465,500,682,858
23129,3403,14909,1510,3102,2038,2046,3600
23023,877,3643,2480,2052,569,1582,1457
100507032,64,124,120,68,82,167,115
644974,7,17,12,13,5,16,11
729375,71,120,115,129,47,147,113
30849,689,1252,1422,1481,777,812,622
27032,3212,5110,7330,7711,2461,3726,3068
28990,215,314,371,334,234,266,311
79858,196,319,309,628,100,223,428
131870,1173,2724,3861,3260,1605,1523,1697
11222,4170,3858,4617,3634,2694,2761,4136
105374114,181,182,295,232,118,127,182
131034,29,169,403,3104,39,2826,68
55,22,13,8,23,0,11,1
23317,2558,3810,3790,4086,1520,1861,2400
100532724,563,675,734,1258,350,504,519
84129,301,438,447,789,292,313,352
79876,1416,1661,1916,2737,1052,1710,1691
27031,401,363,504,812,108,324,244
348808,10,10,17,28,2,4,10
66000,74,1011,2110,2960,98,779,372
55573,6597,10932,7311,8346,4438,5305,5455
11073,1985,2733,3100,3014,2399,1931,3733
7018,7,12,21,46,19,14,148
58477,1812,3081,2970,2453,1619,2174,1837
51560,20,778,884,663,234,487,553
6578,3,72,124,2,1149,1,143
6259,2712,2169,5174,3349,2069,2011,2276
51421,2520,6459,6209,500,217,2574,1013
25847,1728,1945,3339,1741,1228,1388,2617
80254,771,1454,1672,1906,797,758,1056
2047,23,27,45,171,6,267,9
5523,1150,1564,1667,1342,561,344,1031
55167,793,881,1080,1394,944,902,769
5096,998,3120,4359,3204,2664,2109,2968
10274,2157,2882,4111,3924,1188,2266,2119
80723,272,237,675,2491,163,322,930
4690,911,886,1545,2816,1076,1093,1079
53833,52,11,41,42,12,23,29
199221,139,151,330,177,59,140,87
51163,601,662,775,781,531,525,833
25852,977,1270,1856,2114,1214,1204,1474
347736,134,126,144,263,119,200,52
